X1,X2,X3,X4,X5,Y1,Y2,Y3,Y4,Y5
0.5706044,0.811623,0.6858186,0.019703234,0.17623653,1.0,0.0,0.0,0.0,0.0
0.61364776,0.69123715,0.8527042,0.04541866,0.36377695,1.0,0.0,0.0,0.0,0.0
0.5885216,0.7453723,0.7829035,0.02374603,0.17722517,1.0,0.0,0.0,0.0,0.0
0.68732345,0.65157044,0.9660389,0.02475708,0.15017267,1.0,0.0,0.0,0.0,0.0
0.58038837,0.7901744,0.7220854,-0.009058228,0.057988834,1.0,0.0,0.0,0.0,0.0
0.5850835,0.7526874,0.78569037,0.024008246,0.27432564,1.0,0.0,0.0,0.0,0.0
0.58673686,0.713099,0.8744861,0.047916178,0.14048159,1.0,0.0,0.0,0.0,0.0
0.58811146,0.7131385,0.87399644,0.08196249,0.19849522,1.0,0.0,0.0,0.0,0.0
0.6691335,0.74569035,0.846872,0.0451438,0.25723526,1.0,0.0,0.0,0.0,0.0
0.55849916,0.72989964,0.82100093,0.004146766,0.046795927,1.0,0.0,0.0,0.0,0.0
0.6759009,0.6793127,0.91718614,0.044178165,0.39846277,1.0,0.0,0.0,0.0,0.0
0.6138656,0.74875134,0.7426376,-0.040473938,0.2443596,1.0,0.0,0.0,0.0,0.0
0.64540815,0.7018721,0.8840042,0.02049776,0.22127849,1.0,0.0,0.0,0.0,0.0
0.5955571,0.7452223,0.8174916,0.052098658,0.13579787,1.0,0.0,0.0,0.0,0.0
0.6327861,0.6704727,0.9289445,0.07358065,0.19197965,1.0,0.0,0.0,0.0,0.0
0.6157626,0.7651079,0.8414112,0.031490117,0.16780211,1.0,0.0,0.0,0.0,0.0
0.617656,0.7022877,0.8673008,-0.0012080433,0.073066115,1.0,0.0,0.0,0.0,0.0
0.5988538,0.77699405,0.76001734,0.03830898,0.26945585,1.0,0.0,0.0,0.0,0.0
0.63847053,0.7122608,0.81649876,0.006302919,0.26265842,1.0,0.0,0.0,0.0,0.0
0.5608151,0.768342,0.7578597,0.011517644,0.1134137,1.0,0.0,0.0,0.0,0.0
0.6519527,0.6952556,0.8982096,0.05251865,0.24084705,1.0,0.0,0.0,0.0,0.0
0.58669704,0.7487631,0.8433518,-0.0055020214,-0.011450353,1.0,0.0,0.0,0.0,0.0
0.6298349,0.7329881,0.80513656,0.009831447,0.20623326,1.0,0.0,0.0,0.0,0.0
0.63447416,0.7544694,0.7825667,-0.029568575,0.14308588,1.0,0.0,0.0,0.0,0.0
0.64174026,0.7094458,0.9319691,0.05285744,0.06292792,1.0,0.0,0.0,0.0,0.0
0.6903262,0.70475274,0.88994503,0.05076707,0.2523585,1.0,0.0,0.0,0.0,0.0
0.61655277,0.7541717,0.75265175,-0.012194531,0.16487387,1.0,0.0,0.0,0.0,0.0
0.6447971,0.78196955,0.73447084,-0.040035695,0.29886368,1.0,0.0,0.0,0.0,0.0
0.58598036,0.7309425,0.8241722,0.03949985,0.12197506,1.0,0.0,0.0,0.0,0.0
0.5847705,0.751554,0.7838043,-0.025357552,-0.033595037,1.0,0.0,0.0,0.0,0.0
0.5537086,0.7568849,0.8035016,0.044461124,0.05342375,1.0,0.0,0.0,0.0,0.0
