Sangli Maharashtra ,0
com/r/AfreenJamadar/8baf379b705e37c6 ,0
WORK EXPERIENCE ,0
Cisco Networking ,0
hard working ,0
EDUCATION ,0
PGDAC ,0
CDAC ACTS ,0
2017 ,0
Kolhapur Maharashtra ,0
2016 ,0
SKILLS ,0
ADDITIONAL INFORMATION ,0
TECHNICAL SKILLS ,0
net php,0
UNISYS ,0
Bengaluru Karnataka ,0
com/r/AlokKhandai/5be849e443b8f467 ,0
Having 3,0
WORK EXPERIENCE ,0
UNISYS ,0
Bengaluru Karnataka ,0
Having 3,0
Microsoft Corporation ,0
Redmond WA ,0
com/r/AlokKhandai/5be849e443b8f467isidrexdownloadikwdownloadtopcoIN ,0
Development environments ,0
 Patch applications,0
Previous Project ,0
HCL Technologies ,0
Bengaluru Karnataka ,0
Microsoft Corporation ,0
Client Description ,0
Responsibilities ,0
EDUCATION ,0
2012 ,0
SKILLS ,0
ADDITIONAL INFORMATION ,0
TECHNICAL PROFICIENCY ,0
Operating Environment ,0
Windows95/98/XP/NT ,0
com/r/AnvithaRao/9d6acc68cc30c71c ,1
WORK EXPERIENCE ,1
Automation developer ,1
SAP Labs ,1
Bengaluru Karnataka ,1
Intern ,1
SAP Labs ,1
Bengaluru Karnataka ,1
com/r/AnvithaRao/9d6acc68cc30c71cisidrexdownloadikwdownloadtopcoIN ,1
php/ojs/article/view/1416 ,1
EDUCATION ,1
Tempe AZ ,1
September 2019 ,1
Bengaluru Karnataka ,1
SKILLS ,1
LINKS ,1
com/in/anvithadrao65a068a7 ,1
ADDITIONAL INFORMATION ,1
com/r/arjunks/8e9247624a5095b4 ,0
Snaps ,0
8 years ,0
 3,0
Ms PowerPoint ,0
0 ,0
Milestone 2,0
WORK EXPERIENCE ,0
oracle ,0
Bengaluru Karnataka ,0
Process Specialist ,0
Infosys ,0
Bengaluru Karnataka ,0
com/r/arjunks/8e9247624a5095b4isidrexdownloadikwdownloadtopcoIN ,0
Responsibility Areas ,0
Seat utilization plan,0
Process ,0
EDUCATION ,0
Bengaluru Karnataka ,0
Bengaluru Karnataka ,0
2011 ,0
SKILLS ,0
LINKS ,0
com/in/arjunks31388627/ ,0
ADDITIONAL INFORMATION ,0
com/in/arjunks31388627/ ,0
People Management ,0
Team Building ,0
Anticipate organize ,0
data integrity,0
Professional Competence ,0
interpersonal skills,0
com/r/ArunElumalai/26575d617d50ea04 ,0
WORK EXPERIENCE ,0
QA Tester ,0
Accenture ,0
Payments Domain ,0
Client ,0
VisionPLUS ,0
 2,0
 3,0
 5,0
PERFORMANCE ACHIEVEMENTS ,0
EDUCATION ,0
com/r/ArunElumalai/26575d617d50ea04isidrexdownloadikwdownloadtopcoIN ,0
SKILLS ,0
ADDITIONAL INFORMATION ,0
TECHNICAL SKILLS ,0
Languages ,0
Python ,0
Software/Tools ,0
Bengaluru Karnataka ,1
com/r/AshalataBisoyi/cf02125911cfb5df ,1
WORK EXPERIENCE ,1
Transaction Processor ,1
EDUCATION ,1
Brahmapur Orissa ,1
2015 ,1
Berhampur university ,1
Brahmapur Orissa ,1
2013 ,1
Accounting ,1
Brahmapur Orissa ,1
2010 ,1
Education ,1
Orissa IN ,1
2008 ,1
Hinjilikatu Orissa ,1
com/r/AshalataBisoyi/cf02125911cfb5dfisidrexdownloadikwdownloadtopcoIN ,1
Orissa IN ,1
ADDITIONAL INFORMATION ,1
OTHER QUALIFICATIONS ,1
Microsoft ,0
com/r/AshokKunam/7aac8767aacf10a0 ,0
plugins ,0
organizational goals ,0
WORK EXPERIENCE ,0
Team Lead ,0
Microsoft ,0
Environment Java 1,0
Till Date ,0
Highlights ,0
Title MyiTalent ,0
Client iTalent ,0
com/r/AshokKunam/7aac8767aacf10a0isidrexdownloadikwdownloadtopcoIN ,0
Environment Java 1,0
Till Date ,0
Highlights ,0
Title CSC ,0
Client Cisco ,0
Environment Java 1,0
Till Date ,0
Highlights ,0
EDUCATION ,0
2014 ,0
SKILLS ,0
LINKS ,0
com/in/ashokkunam85a845a8 ,0
com/in/ashokkunam85a845a8 ,0
ADDITIONAL INFORMATION ,0
Technical Skills ,0
SKM Lithium ,0
Knowledge Purview ,0
Documentation Generation ,0
Iterative Development ,0
Deployment ,0
Agile ,0
Professional Experience ,0
Core Competencies ,0
Requirement Gathering ,0
Deployment ,0
Support ,0
Project Management ,0
Delivery Management ,0
Quality Assurance ,0
Liaison ,0
Infosys Limited ,0
Hyderabad Telangana ,0
com/r/AvinSharma/3ad8a8b57a172613 ,0
WORK EXPERIENCE ,0
Infosys Limited ,0
sales closure,0
Infosys Limited ,0
com/r/AvinSharma/3ad8a8b57a172613isidrexdownloadikwdownloadtopcoIN ,0
Amritsar Punjab ,0
EDUCATION ,0
SKILLS ,0
ADDITIONAL INFORMATION ,0
Oracle ,1
Bangalore Karnataka ,1
com/r/AyeshaB/b2985be284dee3d6 ,1
WORK EXPERIENCE ,1
Team member ,1
Oracle ,1
Bangalore Karnataka ,1
EDUCATION ,1
Bangalore Karnataka ,1
2012 ,1
Bangalore Karnataka ,1
2008 ,1
Bangalore Karnataka ,1
2006 ,1
com/r/AyeshaB/b2985be284dee3d6isidrexdownloadikwdownloadtopcoIN ,1
